mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
3,1106,15,accuracy,binary,0.9547131581684959,3,3.473812837406463e-4,Preprocessor1_Model01
3,1106,15,f_meas,binary,0.9768313801585654,3,1.820240410868205e-4,Preprocessor1_Model01
4,1021,7,accuracy,binary,0.9545125246868097,3,3.028517673074869e-4,Preprocessor1_Model02
4,1021,7,f_meas,binary,0.976719450483039,3,1.5946943353307261e-4,Preprocessor1_Model02
4,1481,24,accuracy,binary,0.9546908653523558,3,3.3466310792538577e-4,Preprocessor1_Model03
4,1481,24,f_meas,binary,0.9768197157983529,3,1.7535834322003323e-4,Preprocessor1_Model03
2,955,30,accuracy,binary,0.9547020121331407,3,3.4305475180209977e-4,Preprocessor1_Model04
2,955,30,f_meas,binary,0.9768260784458643,3,1.795981906286733e-4,Preprocessor1_Model04
6,502,15,accuracy,binary,0.9546462797200759,3,3.4747666988014706e-4,Preprocessor1_Model05
6,502,15,f_meas,binary,0.976794527265952,3,1.8157193004481894e-4,Preprocessor1_Model05
4,1145,24,accuracy,binary,0.9546908653523558,3,3.3466310792538577e-4,Preprocessor1_Model06
4,1145,24,f_meas,binary,0.9768197157983529,3,1.7535834322003323e-4,Preprocessor1_Model06
6,1789,5,accuracy,binary,0.9541335501668627,3,4.0159086231863946e-4,Preprocessor1_Model07
6,1789,5,f_meas,binary,0.9765174457151683,3,2.0943861513459392e-4,Preprocessor1_Model07
2,413,9,accuracy,binary,0.9546797200624302,3,3.8063457727948867e-4,Preprocessor1_Model08
2,413,9,f_meas,binary,0.9768138635509119,3,1.9944188806739758e-4,Preprocessor1_Model08
3,919,37,accuracy,binary,0.9547131581684959,3,3.473812837406463e-4,Preprocessor1_Model09
3,919,37,f_meas,binary,0.9768316486005733,3,1.817572602664007e-4,Preprocessor1_Model09
3,1665,17,accuracy,binary,0.9547131581684959,3,3.473812837406463e-4,Preprocessor1_Model10
3,1665,17,f_meas,binary,0.9768313801585654,3,1.820240410868205e-4,Preprocessor1_Model10
