mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
3,1718,11,accuracy,binary,0.9547020210782953,3,6.233966637077292e-4,Preprocessor1_Model01
3,1718,11,sens,binary,1,3,0,Preprocessor1_Model01
8,1660,9,accuracy,binary,0.9547020210782953,3,6.233966637077292e-4,Preprocessor1_Model02
8,1660,9,sens,binary,1,3,0,Preprocessor1_Model02
5,789,26,accuracy,binary,0.9547020210782953,3,6.233966637077292e-4,Preprocessor1_Model03
5,789,26,sens,binary,1,3,0,Preprocessor1_Model03
7,1575,15,accuracy,binary,0.9547020210782953,3,6.233966637077292e-4,Preprocessor1_Model04
7,1575,15,sens,binary,1,3,0,Preprocessor1_Model04
5,1363,6,accuracy,binary,0.9547020210782953,3,6.233966637077292e-4,Preprocessor1_Model05
5,1363,6,sens,binary,1,3,0,Preprocessor1_Model05
7,1105,4,accuracy,binary,0.9547131671136505,3,6.198035559189902e-4,Preprocessor1_Model06
7,1105,4,sens,binary,1,3,0,Preprocessor1_Model06
7,746,7,accuracy,binary,0.9547020210782953,3,6.233966637077292e-4,Preprocessor1_Model07
7,746,7,sens,binary,1,3,0,Preprocessor1_Model07
3,1312,19,accuracy,binary,0.9547020210782953,3,6.233966637077292e-4,Preprocessor1_Model08
3,1312,19,sens,binary,1,3,0,Preprocessor1_Model08
3,1572,28,accuracy,binary,0.9547020210782953,3,6.233966637077292e-4,Preprocessor1_Model09
3,1572,28,sens,binary,1,3,0,Preprocessor1_Model09
4,914,14,accuracy,binary,0.9547020210782953,3,6.233966637077292e-4,Preprocessor1_Model10
4,914,14,sens,binary,1,3,0,Preprocessor1_Model10
