mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
4,724,23,accuracy,binary,0.9546574246372868,3,5.946516302070217e-4,Preprocessor1_Model01
4,724,23,f_meas,binary,0.9768002560895678,3,3.104404230354994e-4,Preprocessor1_Model01
3,462,23,accuracy,binary,0.9546908631160672,3,5.946516822872002e-4,Preprocessor1_Model02
3,462,23,f_meas,binary,0.9768187963112538,3,3.11245777551388e-4,Preprocessor1_Model02
4,1968,34,accuracy,binary,0.9546685714180716,3,5.51824422575904e-4,Preprocessor1_Model03
4,1968,34,f_meas,binary,0.9768076916874416,3,2.884638418820307e-4,Preprocessor1_Model03
1,836,6,accuracy,binary,0.9547354480029177,3,5.772565756020766e-4,Preprocessor1_Model04
1,836,6,f_meas,binary,0.9768413701830153,3,3.0151744517503687e-4,Preprocessor1_Model04
5,1632,13,accuracy,binary,0.9542004327151452,3,4.3897419251923516e-4,Preprocessor1_Model05
5,1632,13,f_meas,binary,0.9765588846443416,3,2.2959695217343473e-4,Preprocessor1_Model05
3,1219,36,accuracy,binary,0.9547020091514224,3,5.843297778956319e-4,Preprocessor1_Model06
3,1219,36,f_meas,binary,0.9768256983911716,3,3.056938219898089e-4,Preprocessor1_Model06
2,185,25,accuracy,binary,0.9547131555594924,3,5.859126644840756e-4,Preprocessor1_Model07
2,185,25,f_meas,binary,0.9768312687184496,3,3.0648689497385866e-4,Preprocessor1_Model07
1,1380,34,accuracy,binary,0.9547020091514224,3,5.843297778956319e-4,Preprocessor1_Model08
1,1380,34,f_meas,binary,0.9768259570370291,3,3.058985953305185e-4,Preprocessor1_Model08
2,1322,33,accuracy,binary,0.9547020091514224,3,5.843297778956319e-4,Preprocessor1_Model09
2,1322,33,f_meas,binary,0.9768259570370291,3,3.058985953305185e-4,Preprocessor1_Model09
5,817,29,accuracy,binary,0.9546574250100015,3,5.496916219574671e-4,Preprocessor1_Model10
5,817,29,f_meas,binary,0.9768010603483941,3,2.8750436057797184e-4,Preprocessor1_Model10
