mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
3,84,35,accuracy,binary,0.9547020091514224,3,3.5604038729027874e-4,Preprocessor1_Model01
3,84,35,f_meas,binary,0.9768260720256089,3,1.8638741724063556e-4,Preprocessor1_Model01
1,1117,19,accuracy,binary,0.9547020091514224,3,3.5604038729027874e-4,Preprocessor1_Model02
1,1117,19,f_meas,binary,0.9768260720256089,3,1.8638741724063556e-4,Preprocessor1_Model02
2,306,15,accuracy,binary,0.9547131555594924,3,3.586322886315203e-4,Preprocessor1_Model03
2,306,15,f_meas,binary,0.9768311180931527,3,1.8742798122718037e-4,Preprocessor1_Model03
6,1331,9,accuracy,binary,0.9544456514563966,3,4.3153010801124715e-4,Preprocessor1_Model04
6,1331,9,f_meas,binary,0.9766830815602348,3,2.248481771715686e-4,Preprocessor1_Model04
5,843,19,accuracy,binary,0.9546574246372868,3,3.291996958316578e-4,Preprocessor1_Model05
5,843,19,f_meas,binary,0.9768011698602228,3,1.714670001528305e-4,Preprocessor1_Model05
2,1029,5,accuracy,binary,0.9544902341069584,3,2.854009224105359e-4,Preprocessor1_Model06
2,1029,5,f_meas,binary,0.9767085977702724,3,1.4895552360847533e-4,Preprocessor1_Model06
5,116,3,accuracy,binary,0.9539663693271185,3,4.437358652090803e-4,Preprocessor1_Model07
5,116,3,f_meas,binary,0.9764244270633775,3,2.3211211996031528e-4,Preprocessor1_Model07
5,580,5,accuracy,binary,0.9542004379331521,3,4.2664793565404176e-4,Preprocessor1_Model08
5,580,5,f_meas,binary,0.976548198216701,3,2.2277559349330982e-4,Preprocessor1_Model08
1,512,25,accuracy,binary,0.9547020091514224,3,3.5604038729027874e-4,Preprocessor1_Model09
1,512,25,f_meas,binary,0.9768260720256089,3,1.8638741724063556e-4,Preprocessor1_Model09
6,1460,17,accuracy,binary,0.9545682567271597,3,3.4097183623087363e-4,Preprocessor1_Model10
6,1460,17,f_meas,binary,0.9767539572434344,3,1.7744689938973247e-4,Preprocessor1_Model10
