mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
1,1725,36,accuracy,binary,0.9546797256531518,3,9.639374785365811e-4,Preprocessor1_Model01
1,1725,36,f_meas,binary,0.9768126143259249,3,5.057997370399799e-4,Preprocessor1_Model01
5,962,31,accuracy,binary,0.9545013875966091,3,9.584968801964746e-4,Preprocessor1_Model02
5,962,31,f_meas,binary,0.9767150459727452,3,5.021815004370413e-4,Preprocessor1_Model02
5,1889,8,accuracy,binary,0.953542816629187,3,9.309042642293213e-4,Preprocessor1_Model03
5,1889,8,f_meas,binary,0.9762034146739457,3,4.8650822130780425e-4,Preprocessor1_Model03
1,509,36,accuracy,binary,0.9546797256531518,3,9.639374785365811e-4,Preprocessor1_Model04
1,509,36,f_meas,binary,0.9768126143259249,3,5.057997370399799e-4,Preprocessor1_Model04
3,652,8,accuracy,binary,0.9536765690534498,3,8.66237597479121e-4,Preprocessor1_Model05
3,652,8,f_meas,binary,0.9762741345924039,3,4.528778718714234e-4,Preprocessor1_Model05
2,1933,33,accuracy,binary,0.9545794090986661,3,9.317188448564708e-4,Preprocessor1_Model06
2,1933,33,f_meas,binary,0.9767585599744791,3,4.885507500688495e-4,Preprocessor1_Model06
2,937,5,accuracy,binary,0.9534870857069814,3,8.85912932304723e-4,Preprocessor1_Model07
2,937,5,f_meas,binary,0.9761736801098696,3,4.630376620186775e-4,Preprocessor1_Model07
5,653,10,accuracy,binary,0.9537434456382958,3,8.856075531029113e-4,Preprocessor1_Model08
5,653,10,f_meas,binary,0.9763097262854192,3,4.6289457877369454e-4,Preprocessor1_Model08
1,1787,17,accuracy,binary,0.9545013868511796,3,9.41645558467946e-4,Preprocessor1_Model09
1,1787,17,f_meas,binary,0.9767148023739044,3,4.932294629758822e-4,Preprocessor1_Model09
3,379,33,accuracy,binary,0.9545571170279556,3,9.368324057891841e-4,Preprocessor1_Model10
3,379,33,f_meas,binary,0.9767466058554654,3,4.915292628699017e-4,Preprocessor1_Model10
