min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
28,4,3.4436650843388655e-4,5.769470031319189e-6,accuracy,binary,0.9532126178260556,5,8.104655043974761e-4,Preprocessor1_Model01
28,4,3.4436650843388655e-4,5.769470031319189e-6,kap,binary,0,5,0,Preprocessor1_Model01
28,4,3.4436650843388655e-4,5.769470031319189e-6,roc_auc,binary,0.6134159119898084,5,0.004284805284469436,Preprocessor1_Model01
28,4,3.4436650843388655e-4,5.769470031319189e-6,sens,binary,1,5,0,Preprocessor1_Model01
38,9,0.0011615631296594568,0.04576911137636396,accuracy,binary,0.9532126178260556,5,8.104655043974761e-4,Preprocessor1_Model02
38,9,0.0011615631296594568,0.04576911137636396,kap,binary,0,5,0,Preprocessor1_Model02
38,9,0.0011615631296594568,0.04576911137636396,roc_auc,binary,0.6254900017895828,5,0.004085765376652758,Preprocessor1_Model02
38,9,0.0011615631296594568,0.04576911137636396,sens,binary,1,5,0,Preprocessor1_Model02
35,5,1.7481081311341318e-4,2.586879953193169,accuracy,binary,0.9532126178260556,5,8.104655043974761e-4,Preprocessor1_Model03
35,5,1.7481081311341318e-4,2.586879953193169,kap,binary,0,5,0,Preprocessor1_Model03
35,5,1.7481081311341318e-4,2.586879953193169,roc_auc,binary,0.6042090706454682,5,0.004861677924708702,Preprocessor1_Model03
35,5,1.7481081311341318e-4,2.586879953193169,sens,binary,1,5,0,Preprocessor1_Model03
3,11,1.386266012183106e-9,1.06360208193005e-9,accuracy,binary,0.9532126178260556,5,8.104655043974761e-4,Preprocessor1_Model04
3,11,1.386266012183106e-9,1.06360208193005e-9,kap,binary,0,5,0,Preprocessor1_Model04
3,11,1.386266012183106e-9,1.06360208193005e-9,roc_auc,binary,0.5,5,0,Preprocessor1_Model04
3,11,1.386266012183106e-9,1.06360208193005e-9,sens,binary,1,5,0,Preprocessor1_Model04
20,12,6.209421490196319e-5,1.0486881227544363e-8,accuracy,binary,0.9532126178260556,5,8.104655043974761e-4,Preprocessor1_Model05
20,12,6.209421490196319e-5,1.0486881227544363e-8,kap,binary,0,5,0,Preprocessor1_Model05
20,12,6.209421490196319e-5,1.0486881227544363e-8,roc_auc,binary,0.6076998044865946,5,0.0034635838311652184,Preprocessor1_Model05
20,12,6.209421490196319e-5,1.0486881227544363e-8,sens,binary,1,5,0,Preprocessor1_Model05
35,13,2.5915924621711494e-7,0.10608336323960217,accuracy,binary,0.9532126178260556,5,8.104655043974761e-4,Preprocessor1_Model06
35,13,2.5915924621711494e-7,0.10608336323960217,kap,binary,0,5,0,Preprocessor1_Model06
35,13,2.5915924621711494e-7,0.10608336323960217,roc_auc,binary,0.6074281823824238,5,0.0030469006456413906,Preprocessor1_Model06
35,13,2.5915924621711494e-7,0.10608336323960217,sens,binary,1,5,0,Preprocessor1_Model06
7,1,7.0960872177669114e-9,4.9429043168275446e-8,accuracy,binary,0.9532126178260556,5,8.104655043974761e-4,Preprocessor1_Model07
7,1,7.0960872177669114e-9,4.9429043168275446e-8,kap,binary,0,5,0,Preprocessor1_Model07
7,1,7.0960872177669114e-9,4.9429043168275446e-8,roc_auc,binary,0.5,5,0,Preprocessor1_Model07
