min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
20,13,1.2191318778860595e-9,7.501800201510702,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model01
20,13,1.2191318778860595e-9,7.501800201510702,kap,binary,0,5,0,Preprocessor1_Model01
20,13,1.2191318778860595e-9,7.501800201510702,roc_auc,binary,0.5,5,0,Preprocessor1_Model01
20,13,1.2191318778860595e-9,7.501800201510702,sens,binary,1,5,0,Preprocessor1_Model01
9,2,5.8163635689502675e-6,2.58796199550383e-6,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model02
9,2,5.8163635689502675e-6,2.58796199550383e-6,kap,binary,0,5,0,Preprocessor1_Model02
9,2,5.8163635689502675e-6,2.58796199550383e-6,roc_auc,binary,0.6022371338741269,5,0.0052101054163921235,Preprocessor1_Model02
9,2,5.8163635689502675e-6,2.58796199550383e-6,sens,binary,1,5,0,Preprocessor1_Model02
6,9,1.4089980122735626e-9,0.014158288760208053,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model03
6,9,1.4089980122735626e-9,0.014158288760208053,kap,binary,0,5,0,Preprocessor1_Model03
6,9,1.4089980122735626e-9,0.014158288760208053,roc_auc,binary,0.5,5,0,Preprocessor1_Model03
6,9,1.4089980122735626e-9,0.014158288760208053,sens,binary,1,5,0,Preprocessor1_Model03
16,13,2.0674049342765687e-10,2.275017756370118,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model04
16,13,2.0674049342765687e-10,2.275017756370118,kap,binary,0,5,0,Preprocessor1_Model04
16,13,2.0674049342765687e-10,2.275017756370118,roc_auc,binary,0.5,5,0,Preprocessor1_Model04
16,13,2.0674049342765687e-10,2.275017756370118,sens,binary,1,5,0,Preprocessor1_Model04
39,11,0.005228210177545704,2.5344633465351705e-6,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model05
39,11,0.005228210177545704,2.5344633465351705e-6,kap,binary,0,5,0,Preprocessor1_Model05
39,11,0.005228210177545704,2.5344633465351705e-6,roc_auc,binary,0.6794617341917651,5,0.00264920411065413,Preprocessor1_Model05
39,11,0.005228210177545704,2.5344633465351705e-6,sens,binary,1,5,0,Preprocessor1_Model05
22,13,4.040490017625733e-7,0.19394912061017963,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model06
22,13,4.040490017625733e-7,0.19394912061017963,kap,binary,0,5,0,Preprocessor1_Model06
22,13,4.040490017625733e-7,0.19394912061017963,roc_auc,binary,0.6209299697489205,5,0.003988705621192675,Preprocessor1_Model06
22,13,4.040490017625733e-7,0.19394912061017963,sens,binary,1,5,0,Preprocessor1_Model06
13,11,5.630738942711768e-6,1.1869511172801188,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model07
13,11,5.630738942711768e-6,1.1869511172801188,kap,binary,0,5,0,Preprocessor1_Model07
13,11,5.630738942711768e-6,1.1869511172801188,roc_auc,binary,0.6195447222535335,5,0.004156604036609948,Preprocessor1_Model07
13,11,5.630738942711768e-6,1.1869511172801188,sens,binary,1,5,0,Preprocessor1_Model07
4,9,3.149902822527113e-6,2.819836837026651,accuracy,binary,0.9537591435032758,5,7.358383803285342e-4,Preprocessor1_Model08
4,9,3.149902822527113e-6,2.819836837026651,kap,binary,0.0029023805401282355,5,0.0018549865529571589,Preprocessor1_Model08
4,9,3.149902822527113e-6,2.819836837026651,roc_auc,binary,0.6196681064038385,5,0.004875439991598053,Preprocessor1_Model08
4,9,3.149902822527113e-6,2.819836837026651,sens,binary,0.9998582540717229,5,8.769224643602804e-5,Preprocessor1_Model08
8,3,2.973276484698602e-10,4.4460138985920794e-4,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model09
8,3,2.973276484698602e-10,4.4460138985920794e-4,kap,binary,0,5,0,Preprocessor1_Model09
8,3,2.973276484698602e-10,4.4460138985920794e-4,roc_auc,binary,0.5,5,0,Preprocessor1_Model09
8,3,2.973276484698602e-10,4.4460138985920794e-4,sens,binary,1,5,0,Preprocessor1_Model09
26,10,4.720742048285499e-5,1.5057838441171836,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model10
26,10,4.720742048285499e-5,1.5057838441171836,kap,binary,0,5,0,Preprocessor1_Model10
26,10,4.720742048285499e-5,1.5057838441171836,roc_auc,binary,0.6191209378727671,5,0.00399594474942124,Preprocessor1_Model10
26,10,4.720742048285499e-5,1.5057838441171836,sens,binary,1,5,0,Preprocessor1_Model10
20,14,2.764537294221762e-7,2.3874974388638366,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model11
20,14,2.764537294221762e-7,2.3874974388638366,kap,binary,0,5,0,Preprocessor1_Model11
20,14,2.764537294221762e-7,2.3874974388638366,roc_auc,binary,0.6180678970076123,5,0.004787173861105855,Preprocessor1_Model11
20,14,2.764537294221762e-7,2.3874974388638366,sens,binary,1,5,0,Preprocessor1_Model11
2,2,1.6290769074862746e-6,1.7321433395252323e-4,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model12
2,2,1.6290769074862746e-6,1.7321433395252323e-4,kap,binary,0,5,0,Preprocessor1_Model12
2,2,1.6290769074862746e-6,1.7321433395252323e-4,roc_auc,binary,0.5972174784658826,5,0.0034888198647176124,Preprocessor1_Model12
2,2,1.6290769074862746e-6,1.7321433395252323e-4,sens,binary,1,5,0,Preprocessor1_Model12
28,13,2.2531686409400656e-7,9.269911514934148e-5,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model13
28,13,2.2531686409400656e-7,9.269911514934148e-5,kap,binary,0,5,0,Preprocessor1_Model13
28,13,2.2531686409400656e-7,9.269911514934148e-5,roc_auc,binary,0.6217382913122211,5,0.003894058467206434,Preprocessor1_Model13
28,13,2.2531686409400656e-7,9.269911514934148e-5,sens,binary,1,5,0,Preprocessor1_Model13
36,14,0.024623201197339413,4.2146137913798724e-8,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model14
36,14,0.024623201197339413,4.2146137913798724e-8,kap,binary,0,5,0,Preprocessor1_Model14
36,14,0.024623201197339413,4.2146137913798724e-8,roc_auc,binary,0.7044143428666283,5,0.0041043359445544995,Preprocessor1_Model14
36,14,0.024623201197339413,4.2146137913798724e-8,sens,binary,1,5,0,Preprocessor1_Model14
23,8,3.045362262873501e-7,0.0017620117766192086,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model15
23,8,3.045362262873501e-7,0.0017620117766192086,kap,binary,0,5,0,Preprocessor1_Model15
23,8,3.045362262873501e-7,0.0017620117766192086,roc_auc,binary,0.6214404469248042,5,0.003953466090007365,Preprocessor1_Model15
23,8,3.045362262873501e-7,0.0017620117766192086,sens,binary,1,5,0,Preprocessor1_Model15
3,1,0.003094140499853497,17.20015096217266,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model16
3,1,0.003094140499853497,17.20015096217266,kap,binary,0,5,0,Preprocessor1_Model16
3,1,0.003094140499853497,17.20015096217266,roc_auc,binary,0.5913481122516651,5,0.0034908336796158775,Preprocessor1_Model16
3,1,0.003094140499853497,17.20015096217266,sens,binary,1,5,0,Preprocessor1_Model16
3,4,6.4064001321322e-4,3.202433560127424e-4,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model17
3,4,6.4064001321322e-4,3.202433560127424e-4,kap,binary,0,5,0,Preprocessor1_Model17
3,4,6.4064001321322e-4,3.202433560127424e-4,roc_auc,binary,0.6241041481764062,5,0.004163274816674607,Preprocessor1_Model17
3,4,6.4064001321322e-4,3.202433560127424e-4,sens,binary,1,5,0,Preprocessor1_Model17
22,13,1.1566386370691824e-8,0.11698848255204126,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model18
22,13,1.1566386370691824e-8,0.11698848255204126,kap,binary,0,5,0,Preprocessor1_Model18
22,13,1.1566386370691824e-8,0.11698848255204126,roc_auc,binary,0.6199928072544852,5,0.004643868335153704,Preprocessor1_Model18
22,13,1.1566386370691824e-8,0.11698848255204126,sens,binary,1,5,0,Preprocessor1_Model18
32,4,7.02135052959395e-6,2.283519718125268,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model19
32,4,7.02135052959395e-6,2.283519718125268,kap,binary,0,5,0,Preprocessor1_Model19
32,4,7.02135052959395e-6,2.283519718125268,roc_auc,binary,0.6153137007922372,5,0.004605608146678437,Preprocessor1_Model19
32,4,7.02135052959395e-6,2.283519718125268,sens,binary,1,5,0,Preprocessor1_Model19
27,8,0.008995989955823324,0.06572374212217398,accuracy,binary,0.9538193153692317,5,7.598692842589708e-4,Preprocessor1_Model20
27,8,0.008995989955823324,0.06572374212217398,kap,binary,0,5,0,Preprocessor1_Model20
