mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
8,1931,25,accuracy,binary,0.9517775018561003,3,8.866098083792036e-4,Preprocessor1_Model01
8,1931,25,f_meas,binary,0.9752926120566061,3,4.6569169447553026e-4,Preprocessor1_Model01
4,79,8,accuracy,binary,0.9517775018561003,3,8.866098083792036e-4,Preprocessor1_Model02
4,79,8,f_meas,binary,0.9752926120566061,3,4.6569169447553026e-4,Preprocessor1_Model02
1,1894,35,accuracy,binary,0.9518122204618011,3,8.519100627759232e-4,Preprocessor1_Model03
1,1894,35,f_meas,binary,0.9753108719203478,3,4.4744172356073815e-4,Preprocessor1_Model03
8,1957,30,accuracy,binary,0.9517775018561003,3,8.866098083792036e-4,Preprocessor1_Model04
8,1957,30,f_meas,binary,0.9752926120566061,3,4.6569169447553026e-4,Preprocessor1_Model04
5,813,37,accuracy,binary,0.9517775018561003,3,8.866098083792036e-4,Preprocessor1_Model05
5,813,37,f_meas,binary,0.9752926120566061,3,4.6569169447553026e-4,Preprocessor1_Model05
3,1898,22,accuracy,binary,0.9517775018561003,3,8.866098083792036e-4,Preprocessor1_Model06
3,1898,22,f_meas,binary,0.9752926120566061,3,4.6569169447553026e-4,Preprocessor1_Model06
8,1119,39,accuracy,binary,0.9517775018561003,3,8.866098083792036e-4,Preprocessor1_Model07
8,1119,39,f_meas,binary,0.9752926120566061,3,4.6569169447553026e-4,Preprocessor1_Model07
7,1443,31,accuracy,binary,0.9517775018561003,3,8.866098083792036e-4,Preprocessor1_Model08
7,1443,31,f_meas,binary,0.9752926120566061,3,4.6569169447553026e-4,Preprocessor1_Model08
6,1431,16,accuracy,binary,0.9517775018561003,3,8.866098083792036e-4,Preprocessor1_Model09
6,1431,16,f_meas,binary,0.9752926120566061,3,4.6569169447553026e-4,Preprocessor1_Model09
5,1643,33,accuracy,binary,0.9517775018561003,3,8.866098083792036e-4,Preprocessor1_Model10
5,1643,33,f_meas,binary,0.9752926120566061,3,4.6569169447553026e-4,Preprocessor1_Model10
