mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
5,1812,19,accuracy,binary,0.953212538564135,3,0.0012350938323410167,Preprocessor1_Model01
5,1812,19,f_meas,binary,0.9760445707085202,3,6.476723124184131e-4,Preprocessor1_Model01
1,1799,31,accuracy,binary,0.953212538564135,3,0.0012350938323410167,Preprocessor1_Model02
1,1799,31,f_meas,binary,0.9760450740046828,3,6.478773323328654e-4,Preprocessor1_Model02
2,44,9,accuracy,binary,0.9531915478000712,3,0.0012559733227951457,Preprocessor1_Model03
2,44,9,f_meas,binary,0.976033538397221,3,6.586455611381437e-4,Preprocessor1_Model03
6,283,11,accuracy,binary,0.9531705583577607,3,0.001243796078278396,Preprocessor1_Model04
6,283,11,f_meas,binary,0.9760225508390259,3,6.522663795842657e-4,Preprocessor1_Model04
2,87,27,accuracy,binary,0.953212538564135,3,0.0012350938323410167,Preprocessor1_Model05
2,87,27,f_meas,binary,0.9760450740046828,3,6.478773323328654e-4,Preprocessor1_Model05
1,1794,24,accuracy,binary,0.953212538564135,3,0.0012350938323410167,Preprocessor1_Model06
1,1794,24,f_meas,binary,0.9760450740046828,3,6.478773323328654e-4,Preprocessor1_Model06
1,595,8,accuracy,binary,0.953212538564135,3,0.0012350938323410167,Preprocessor1_Model07
1,595,8,f_meas,binary,0.9760450740046828,3,6.478773323328654e-4,Preprocessor1_Model07
3,919,23,accuracy,binary,0.953212538564135,3,0.0012350938323410167,Preprocessor1_Model08
3,919,23,f_meas,binary,0.9760445707085202,3,6.476723124184131e-4,Preprocessor1_Model08
1,758,20,accuracy,binary,0.953212538564135,3,0.0012350938323410167,Preprocessor1_Model09
1,758,20,f_meas,binary,0.9760450740046828,3,6.478773323328654e-4,Preprocessor1_Model09
6,1921,3,accuracy,binary,0.9525198592110687,3,0.0012019928545102614,Preprocessor1_Model10
6,1921,3,f_meas,binary,0.9756793089736957,3,6.297282773662446e-4,Preprocessor1_Model10
