min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
20,9,2.495518354877145e-4,7.535631585917301e-10,accuracy,binary,0.9547019610497393,5,0.0010204562960837505,Preprocessor1_Model01
20,9,2.495518354877145e-4,7.535631585917301e-10,kap,binary,0,5,0,Preprocessor1_Model01
20,9,2.495518354877145e-4,7.535631585917301e-10,roc_auc,binary,0.6226487977603226,5,0.003024245757536804,Preprocessor1_Model01
20,9,2.495518354877145e-4,7.535631585917301e-10,sens,binary,1,5,0,Preprocessor1_Model01
3,8,8.283171671094086e-8,1.232711005220956e-8,accuracy,binary,0.9546908152628466,5,0.0010116795706557324,Preprocessor1_Model02
3,8,8.283171671094086e-8,1.232711005220956e-8,kap,binary,4.6124805858225313e-4,5,4.6124805858225313e-4,Preprocessor1_Model02
3,8,8.283171671094086e-8,1.232711005220956e-8,roc_auc,binary,0.6127709316089127,5,0.002815604791783735,Preprocessor1_Model02
3,8,8.283171671094086e-8,1.232711005220956e-8,sens,binary,0.9999767293036244,5,2.3270696375599088e-5,Preprocessor1_Model02
33,11,3.1744947724531325e-6,4.832768099225328e-10,accuracy,binary,0.9547019610497393,5,0.0010204562960837505,Preprocessor1_Model03
33,11,3.1744947724531325e-6,4.832768099225328e-10,kap,binary,0,5,0,Preprocessor1_Model03
33,11,3.1744947724531325e-6,4.832768099225328e-10,roc_auc,binary,0.6169943801639677,5,0.002916976324489984,Preprocessor1_Model03
33,11,3.1744947724531325e-6,4.832768099225328e-10,sens,binary,1,5,0,Preprocessor1_Model03
10,3,0.00334231627189129,4.765686003984671e-5,accuracy,binary,0.9547019610497393,5,0.0010204562960837505,Preprocessor1_Model04
10,3,0.00334231627189129,4.765686003984671e-5,kap,binary,0,5,0,Preprocessor1_Model04
10,3,0.00334231627189129,4.765686003984671e-5,roc_auc,binary,0.6158649538289328,5,0.0027036654369625344,Preprocessor1_Model04
10,3,0.00334231627189129,4.765686003984671e-5,sens,binary,1,5,0,Preprocessor1_Model04
15,15,5.248769146699912e-4,9.16552756434248,accuracy,binary,0.9547019610497393,5,0.0010204562960837505,Preprocessor1_Model05
15,15,5.248769146699912e-4,9.16552756434248,kap,binary,0,5,0,Preprocessor1_Model05
15,15,5.248769146699912e-4,9.16552756434248,roc_auc,binary,0.6096574689349897,5,0.004013549204476451,Preprocessor1_Model05
15,15,5.248769146699912e-4,9.16552756434248,sens,binary,1,5,0,Preprocessor1_Model05
7,1,1.255207354771559e-5,4.4324892705761185e-6,accuracy,binary,0.9547019610497393,5,0.0010204562960837505,Preprocessor1_Model06
7,1,1.255207354771559e-5,4.4324892705761185e-6,kap,binary,0,5,0,Preprocessor1_Model06
7,1,1.255207354771559e-5,4.4324892705761185e-6,roc_auc,binary,0.5864305402293503,5,0.003883939976573362,Preprocessor1_Model06
