mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
1,72,36,accuracy,binary,0.9538192812432237,3,0.001007122762173421,Preprocessor1_Model01
1,72,36,sens,binary,1,3,0,Preprocessor1_Model01
8,450,18,accuracy,binary,0.9538042391252934,3,9.935406938490323e-4,Preprocessor1_Model02
8,450,18,sens,binary,0.9999842596527679,3,1.5740347232062746e-5,Preprocessor1_Model02
8,657,14,accuracy,binary,0.9538192812432237,3,0.001007122762173421,Preprocessor1_Model03
8,657,14,sens,binary,1,3,0,Preprocessor1_Model03
1,867,31,accuracy,binary,0.9538192812432237,3,0.001007122762173421,Preprocessor1_Model04
1,867,31,sens,binary,1,3,0,Preprocessor1_Model04
2,500,39,accuracy,binary,0.9538192812432237,3,0.001007122762173421,Preprocessor1_Model05
2,500,39,sens,binary,1,3,0,Preprocessor1_Model05
6,1995,39,accuracy,binary,0.9538192812432237,3,0.001007122762173421,Preprocessor1_Model06
6,1995,39,sens,binary,1,3,0,Preprocessor1_Model06
7,736,5,accuracy,binary,0.9538042391252934,3,9.935406938490323e-4,Preprocessor1_Model07
7,736,5,sens,binary,0.9999842596527679,3,1.5740347232062746e-5,Preprocessor1_Model07
1,460,8,accuracy,binary,0.9538192812432237,3,0.001007122762173421,Preprocessor1_Model08
1,460,8,sens,binary,1,3,0,Preprocessor1_Model08
2,1788,15,accuracy,binary,0.9538192812432237,3,0.001007122762173421,Preprocessor1_Model09
2,1788,15,sens,binary,1,3,0,Preprocessor1_Model09
4,1808,18,accuracy,binary,0.9538192812432237,3,0.001007122762173421,Preprocessor1_Model10
4,1808,18,sens,binary,1,3,0,Preprocessor1_Model10
