mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
1,526,6,accuracy,binary,0.9538192846373564,3,0.0010137693282605397,Preprocessor1_Model01
1,526,6,f_meas,binary,0.9763633244683401,3,5.312431141255709e-4,Preprocessor1_Model01
2,744,29,accuracy,binary,0.9538644123488003,3,0.0010137687939555022,Preprocessor1_Model02
2,744,29,f_meas,binary,0.9763855257578221,3,5.309677088325929e-4,Preprocessor1_Model02
2,1635,38,accuracy,binary,0.95384937023087,3,0.0010019720909279393,Preprocessor1_Model03
2,1635,38,f_meas,binary,0.9763783589034803,3,5.253492076138672e-4,Preprocessor1_Model03
2,904,3,accuracy,binary,0.9537139911694982,3,9.95086548199995e-4,Preprocessor1_Model04
2,904,3,f_meas,binary,0.9763012696440007,3,5.211583658050668e-4,Preprocessor1_Model04
3,1881,28,accuracy,binary,0.9538644123488003,3,0.0010137687939555022,Preprocessor1_Model05
3,1881,28,f_meas,binary,0.9763851465667855,3,5.313196412293305e-4,Preprocessor1_Model05
1,1040,21,accuracy,binary,0.9538192846373564,3,0.0010137693282605397,Preprocessor1_Model06
1,1040,21,f_meas,binary,0.9763633244683401,3,5.312431141255709e-4,Preprocessor1_Model06
5,1801,28,accuracy,binary,0.9538343267552867,3,0.0010417408034170286,Preprocessor1_Model07
5,1801,28,f_meas,binary,0.9763693523696578,3,5.460108754245389e-4,Preprocessor1_Model07
2,1105,26,accuracy,binary,0.9538644123488003,3,0.0010137687939555022,Preprocessor1_Model08
2,1105,26,f_meas,binary,0.9763855257578221,3,5.309677088325929e-4,Preprocessor1_Model08
4,1978,19,accuracy,binary,0.9538644123488003,3,0.0010137687939555022,Preprocessor1_Model09
4,1978,19,f_meas,binary,0.9763851465667855,3,5.313196412293305e-4,Preprocessor1_Model09
3,280,34,accuracy,binary,0.9538644123488003,3,0.0010137687939555022,Preprocessor1_Model10
3,280,34,f_meas,binary,0.9763851465667855,3,5.313196412293305e-4,Preprocessor1_Model10
