mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
1,1226,17,accuracy,binary,0.9547020218237248,3,0.0012926949246749996,Preprocessor1_Model01
1,1226,17,f_meas,binary,0.9768252509911374,3,6.770996669574182e-4,Preprocessor1_Model01
4,1706,39,accuracy,binary,0.9546685837176591,3,0.0013261330289809055,Preprocessor1_Model02
4,1706,39,f_meas,binary,0.9768077007753285,3,6.946498818463106e-4,Preprocessor1_Model02
5,1945,3,accuracy,binary,0.954501392814616,3,0.0014100167681902929,Preprocessor1_Model03
5,1945,3,f_meas,binary,0.9767181765949117,3,7.3907272358163e-4,Preprocessor1_Model03
4,34,6,accuracy,binary,0.9545794146893878,3,0.0013651809125360794,Preprocessor1_Model04
4,34,6,f_meas,binary,0.976760145575397,3,7.156168969493556e-4,Preprocessor1_Model04
2,1419,29,accuracy,binary,0.9547020218237248,3,0.0012926949246749996,Preprocessor1_Model05
2,1419,29,f_meas,binary,0.9768252509911374,3,6.770996669574182e-4,Preprocessor1_Model05
5,352,2,accuracy,binary,0.9544902482701199,3,0.0014892654716379928,Preprocessor1_Model06
5,352,2,f_meas,binary,0.9767106545860105,3,7.802187278383699e-4,Preprocessor1_Model06
4,1217,23,accuracy,binary,0.9546685837176591,3,0.0013261330289809055,Preprocessor1_Model07
4,1217,23,f_meas,binary,0.9768077007753285,3,6.946498818463106e-4,Preprocessor1_Model07
1,171,8,accuracy,binary,0.9547020218237248,3,0.0012926949246749996,Preprocessor1_Model08
1,171,8,f_meas,binary,0.9768252509911374,3,6.770996669574182e-4,Preprocessor1_Model08
5,1028,14,accuracy,binary,0.9546351456115935,3,0.0013262673605730214,Preprocessor1_Model09
5,1028,14,f_meas,binary,0.9767901967168163,3,6.947436433041547e-4,Preprocessor1_Model09
8,1001,5,accuracy,binary,0.954545978446896,3,0.0014498802477729375,Preprocessor1_Model10
8,1001,5,f_meas,binary,0.9767404362676685,3,7.593839899623057e-4,Preprocessor1_Model10
