mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
4,1568,15,accuracy,binary,0.9518122349248737,3,8.929690942583962e-4,Preprocessor1_Model01
4,1568,15,f_meas,binary,0.9753108410230238,3,4.6893347248492894e-4,Preprocessor1_Model01
3,1083,9,accuracy,binary,0.9518122349248737,3,8.929690942583962e-4,Preprocessor1_Model02
3,1083,9,f_meas,binary,0.9753108410230238,3,4.6893347248492894e-4,Preprocessor1_Model02
6,1869,14,accuracy,binary,0.9518122349248737,3,8.929690942583962e-4,Preprocessor1_Model03
6,1869,14,f_meas,binary,0.9753108410230238,3,4.6893347248492894e-4,Preprocessor1_Model03
1,649,36,accuracy,binary,0.9518122349248737,3,8.929690942583962e-4,Preprocessor1_Model04
1,649,36,f_meas,binary,0.9753108410230238,3,4.6893347248492894e-4,Preprocessor1_Model04
1,792,32,accuracy,binary,0.9518122349248737,3,8.929690942583962e-4,Preprocessor1_Model05
1,792,32,f_meas,binary,0.9753108410230238,3,4.6893347248492894e-4,Preprocessor1_Model05
1,838,7,accuracy,binary,0.9518122349248737,3,8.929690942583962e-4,Preprocessor1_Model06
1,838,7,f_meas,binary,0.9753108410230238,3,4.6893347248492894e-4,Preprocessor1_Model06
1,462,40,accuracy,binary,0.9518122349248737,3,8.929690942583962e-4,Preprocessor1_Model07
1,462,40,f_meas,binary,0.9753108410230238,3,4.6893347248492894e-4,Preprocessor1_Model07
3,551,26,accuracy,binary,0.9518122349248737,3,8.929690942583962e-4,Preprocessor1_Model08
3,551,26,f_meas,binary,0.9753108410230238,3,4.6893347248492894e-4,Preprocessor1_Model08
5,3,19,accuracy,binary,0.951256762544038,3,8.485084782431106e-4,Preprocessor1_Model09
5,3,19,f_meas,binary,0.9750173760517424,3,4.4652313989876195e-4,Preprocessor1_Model09
4,1086,20,accuracy,binary,0.9518122349248737,3,8.929690942583962e-4,Preprocessor1_Model10
4,1086,20,f_meas,binary,0.9753108410230238,3,4.6893347248492894e-4,Preprocessor1_Model10
