mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
2,1492,17,accuracy,binary,0.9518121698410471,3,0.0012166320005271064,Preprocessor1_Model01
2,1492,17,f_meas,binary,0.9753104398649906,3,6.38558261425099e-4,Preprocessor1_Model01
2,1586,12,accuracy,binary,0.9518121698410471,3,0.0012166320005271064,Preprocessor1_Model02
2,1586,12,f_meas,binary,0.9753104398649906,3,6.38558261425099e-4,Preprocessor1_Model02
1,1078,37,accuracy,binary,0.9518121698410471,3,0.0012166320005271064,Preprocessor1_Model03
1,1078,37,f_meas,binary,0.9753104398649906,3,6.38558261425099e-4,Preprocessor1_Model03
4,376,15,accuracy,binary,0.9515344390742815,3,0.0010710541752468317,Preprocessor1_Model04
4,376,15,f_meas,binary,0.9751647911206074,3,5.622984256399496e-4,Preprocessor1_Model04
2,244,5,accuracy,binary,0.951673295418244,3,0.0012441528185956692,Preprocessor1_Model05
2,244,5,f_meas,binary,0.9752374900533061,3,6.529780277984015e-4,Preprocessor1_Model05
4,1021,35,accuracy,binary,0.9516385948913839,3,0.001057383527053948,Preprocessor1_Model06
4,1021,35,f_meas,binary,0.9752195005587303,3,5.551447427219429e-4,Preprocessor1_Model06
6,1016,8,accuracy,binary,0.9510136744518422,3,0.0011524595116128636,Preprocessor1_Model07
6,1016,8,f_meas,binary,0.9748911442329606,3,6.054023474924752e-4,Preprocessor1_Model07
4,1683,2,accuracy,binary,0.9511872530172736,3,0.0012358851597675969,Preprocessor1_Model08
4,1683,2,f_meas,binary,0.9749813063788735,3,6.496658928478952e-4,Preprocessor1_Model08
2,677,39,accuracy,binary,0.9518121698410471,3,0.0012166320005271064,Preprocessor1_Model09
2,677,39,f_meas,binary,0.9753104398649906,3,6.38558261425099e-4,Preprocessor1_Model09
4,1736,35,accuracy,binary,0.9516385948913839,3,0.001057383527053948,Preprocessor1_Model10
4,1736,35,f_meas,binary,0.9752195005587303,3,5.551447427219429e-4,Preprocessor1_Model10
