mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
2,1492,17,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model01
2,1492,17,f_meas,binary,0.9753100294126882,3,7.829986984969942e-4,Preprocessor1_Model01
2,1586,12,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model02
2,1586,12,f_meas,binary,0.9753100294126882,3,7.829986984969942e-4,Preprocessor1_Model02
1,1078,37,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model03
1,1078,37,f_meas,binary,0.9753100294126882,3,7.829986984969942e-4,Preprocessor1_Model03
4,376,15,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model04
4,376,15,f_meas,binary,0.9753100294126882,3,7.829986984969942e-4,Preprocessor1_Model04
2,244,5,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model05
2,244,5,f_meas,binary,0.9753100294126882,3,7.829986984969942e-4,Preprocessor1_Model05
4,1021,35,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model06
4,1021,35,f_meas,binary,0.9753100294126882,3,7.829986984969942e-4,Preprocessor1_Model06
6,1016,8,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model07
6,1016,8,f_meas,binary,0.9753100294126882,3,7.829986984969942e-4,Preprocessor1_Model07
4,1683,2,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model08
4,1683,2,f_meas,binary,0.9753100294126882,3,7.829986984969942e-4,Preprocessor1_Model08
2,677,39,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model09
2,677,39,f_meas,binary,0.9753100294126882,3,7.829986984969942e-4,Preprocessor1_Model09
4,1736,35,accuracy,binary,0.9518121517622065,3,0.0014919448318914642,Preprocessor1_Model10
4,1736,35,f_meas,binary,0.9753100294126882,3,7.829986984969942e-4,Preprocessor1_Model10
