mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
16,1949,20,accuracy,binary,0.9516386465987773,5,9.031517328928455e-4,Preprocessor1_Model01
16,1949,20,kap,binary,0.006027965427841053,5,0.004833847962663024,Preprocessor1_Model01
16,1949,20,roc_auc,binary,0.5729704605251021,5,0.005575716370151649,Preprocessor1_Model01
16,1949,20,sens,binary,0.9996353148445866,5,1.6310554163642438e-4,Preprocessor1_Model01
15,1671,38,accuracy,binary,0.9517428012112095,5,9.429428701528758e-4,Preprocessor1_Model02
15,1671,38,kap,binary,-1.3842732343496422e-4,5,8.476907838672546e-5,Preprocessor1_Model02
15,1671,38,roc_auc,binary,0.5731008919373972,5,0.003578605400645854,Preprocessor1_Model02
15,1671,38,sens,binary,0.999926947042109,5,4.4735754847462034e-5,Preprocessor1_Model02
10,1937,9,accuracy,binary,0.9512567684526221,5,8.130757999583759e-4,Preprocessor1_Model03
10,1937,9,kap,binary,0.006558754575833103,5,0.0046822491582242205,Preprocessor1_Model03
10,1937,9,roc_auc,binary,0.57375416333445,5,0.005511377542711066,Preprocessor1_Model03
10,1937,9,sens,binary,0.999198082352843,5,2.2724623790651018e-4,Preprocessor1_Model03
20,1134,29,accuracy,binary,0.9516733688209994,5,8.997435924756844e-4,Preprocessor1_Model04
20,1134,29,kap,binary,0.0010821953627651259,5,0.001257612541446767,Preprocessor1_Model04
20,1134,29,roc_auc,binary,0.5667403369025191,5,0.005697918363355551,Preprocessor1_Model04
20,1134,29,sens,binary,0.9998177965964113,5,9.964048424763791e-5,Preprocessor1_Model04
12,1778,30,accuracy,binary,0.9516733688209994,5,8.997435924756844e-4,Preprocessor1_Model05
12,1778,30,kap,binary,0.0010821953627651259,5,0.001257612541446767,Preprocessor1_Model05
12,1778,30,roc_auc,binary,0.5708360655499204,5,0.004953812989846378,Preprocessor1_Model05
12,1778,30,sens,binary,0.9998177965964113,5,9.964048424763791e-5,Preprocessor1_Model05
2,529,9,accuracy,binary,0.9518122336014195,5,9.163984181939056e-4,Preprocessor1_Model06
2,529,9,kap,binary,0,5,0,Preprocessor1_Model06
2,529,9,roc_auc,binary,0.5295126515216356,5,0.0031351527273581897,Preprocessor1_Model06
2,529,9,sens,binary,1,5,0,Preprocessor1_Model06
20,1418,37,accuracy,binary,0.9516733688209994,5,8.997435924756844e-4,Preprocessor1_Model07
20,1418,37,kap,binary,0.0010821953627651259,5,0.001257612541446767,Preprocessor1_Model07
20,1418,37,roc_auc,binary,0.5689472529913687,5,0.006545534203247204,Preprocessor1_Model07
20,1418,37,sens,binary,0.9998177965964113,5,9.964048424763791e-5,Preprocessor1_Model07
16,822,5,accuracy,binary,0.9508401680842447,5,9.401332302120076e-4,Preprocessor1_Model08
16,822,5,kap,binary,0.0057237400200007785,5,0.004838512741958348,Preprocessor1_Model08
16,822,5,roc_auc,binary,0.5664488046212954,5,0.006734290387172159,Preprocessor1_Model08
16,822,5,sens,binary,0.9987599046360804,5,0.00017659863374827337,Preprocessor1_Model08
11,1711,17,accuracy,binary,0.9516386465987773,5,9.031517328928455e-4,Preprocessor1_Model09
11,1711,17,kap,binary,0.006027965427841053,5,0.004833847962663024,Preprocessor1_Model09
11,1711,17,roc_auc,binary,0.5712588261564464,5,0.007344759850700377,Preprocessor1_Model09
11,1711,17,sens,binary,0.9996353148445866,5,1.6310554163642438e-4,Preprocessor1_Model09
4,135,11,accuracy,binary,0.9517080850161045,5,8.687523118731153e-4,Preprocessor1_Model10
