mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
5,1191,9,accuracy,binary,0.9527508496534376,5,0.0010109653588658298,Preprocessor1_Model01
5,1191,9,kap,binary,5.884785222541655e-4,5,0.0010629712030774984,Preprocessor1_Model01
5,1191,9,roc_auc,binary,0.5674006743155489,5,0.004841557454676736,Preprocessor1_Model01
5,1191,9,sens,binary,0.9994707332206415,5,2.866321304857814e-4,Preprocessor1_Model01
2,556,28,accuracy,binary,0.9532126178260556,5,8.104655043974761e-4,Preprocessor1_Model02
2,556,28,kap,binary,0,5,0,Preprocessor1_Model02
2,556,28,roc_auc,binary,0.5348291235385356,5,0.003247522323802422,Preprocessor1_Model02
2,556,28,sens,binary,1,5,0,Preprocessor1_Model02
2,1307,21,accuracy,binary,0.9532126178260556,5,8.104655043974761e-4,Preprocessor1_Model03
2,1307,21,kap,binary,0,5,0,Preprocessor1_Model03
2,1307,21,roc_auc,binary,0.5440982093269998,5,0.004045116296353845,Preprocessor1_Model03
2,1307,21,sens,binary,1,5,0,Preprocessor1_Model03
13,127,26,accuracy,binary,0.9528348038983742,5,9.568769417238024e-4,Preprocessor1_Model04
13,127,26,kap,binary,7.608468656844947e-4,5,0.0012468672651758555,Preprocessor1_Model04
13,127,26,roc_auc,binary,0.5466205868305326,5,0.004407143631529605,Preprocessor1_Model04
13,127,26,sens,binary,0.9995589945736537,5,2.234915525853205e-4,Preprocessor1_Model04
19,1046,22,accuracy,binary,0.9527088659224803,5,9.935308380887005e-4,Preprocessor1_Model05
19,1046,22,kap,binary,5.077966008252943e-4,5,0.0011519904366718637,Preprocessor1_Model05
19,1046,22,roc_auc,binary,0.5712415811274112,5,0.005162537601883828,Preprocessor1_Model05
19,1046,22,sens,binary,0.9994267530144432,5,2.6907146691655106e-4,Preprocessor1_Model05
2,930,28,accuracy,binary,0.9532126178260556,5,8.104655043974761e-4,Preprocessor1_Model06
2,930,28,kap,binary,0,5,0,Preprocessor1_Model06
