mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
2,509,27,roc_auc,binary,0.5607195668430571,5,0.005013202763389514,Preprocessor1_Model15
2,509,27,sens,binary,0.9998898846012255,5,8.535504000338855e-5,Preprocessor1_Model15
10,203,6,accuracy,binary,0.9516803383088207,5,9.92428910471625e-4,Preprocessor1_Model16
10,203,6,kap,binary,0.008649774232744867,5,0.003319752469604928,Preprocessor1_Model16
10,203,6,roc_auc,binary,0.5573388942153666,5,0.004551656960882594,Preprocessor1_Model16
10,203,6,sens,binary,0.9980614884861838,5,3.0217762263067536e-4,Preprocessor1_Model16
4,1997,26,accuracy,binary,0.9528977717849062,5,8.775388319964169e-4,Preprocessor1_Model17
4,1997,26,kap,binary,8.886785064788905e-4,5,0.0013182433741795098,Preprocessor1_Model17
4,1997,26,roc_auc,binary,0.5756905244360124,5,0.005969757583487419,Preprocessor1_Model17
4,1997,26,sens,binary,0.9996253476445733,5,1.8329688231356772e-4,Preprocessor1_Model17
8,1756,18,accuracy,binary,0.9526878729555868,5,9.239414896975956e-4,Preprocessor1_Model18
8,1756,18,kap,binary,0.002062745086017803,5,0.0012506748714424178,Preprocessor1_Model18
8,1756,18,roc_auc,binary,0.5743560883843521,5,0.005392433070480246,Preprocessor1_Model18
8,1756,18,sens,binary,0.9993609352046997,5,2.2736664456470627e-4,Preprocessor1_Model18
8,1276,9,accuracy,binary,0.9520371768922461,5,0.0010129364091598539,Preprocessor1_Model19
8,1276,9,kap,binary,0.006109763194268103,5,0.0030914952419411616,Preprocessor1_Model19
8,1276,9,roc_auc,binary,0.5724088754114509,5,0.003924592027931824,Preprocessor1_Model19
8,1276,9,sens,binary,0.9985236740171103,5,3.4011547735780974e-4,Preprocessor1_Model19
6,236,26,accuracy,binary,0.9528557902567786,5,8.674513693484311e-4,Preprocessor1_Model20
6,236,26,kap,binary,8.050604282503704e-4,5,0.001334882905356192,Preprocessor1_Model20
6,236,26,roc_auc,binary,0.551535680477181,5,0.006135300192636705,Preprocessor1_Model20
6,236,26,sens,binary,0.9995813335600663,5,1.651968416302517e-4,Preprocessor1_Model20
