mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
7,1642,17,accuracy,binary,0.9532125689644607,3,8.725702290045948e-4,Preprocessor1_Model01
7,1642,17,f_meas,binary,0.9760455005908631,3,4.5743809014906834e-4,Preprocessor1_Model01
1,1870,25,accuracy,binary,0.9532125689644607,3,8.725702290045948e-4,Preprocessor1_Model02
1,1870,25,f_meas,binary,0.9760455005908631,3,4.5743809014906834e-4,Preprocessor1_Model02
5,1588,13,accuracy,binary,0.9532125689644607,3,8.725702290045948e-4,Preprocessor1_Model03
5,1588,13,f_meas,binary,0.9760455005908631,3,4.5743809014906834e-4,Preprocessor1_Model03
2,1272,9,accuracy,binary,0.9532125689644607,3,8.725702290045948e-4,Preprocessor1_Model04
2,1272,9,f_meas,binary,0.9760455005908631,3,4.5743809014906834e-4,Preprocessor1_Model04
8,1320,27,accuracy,binary,0.9532125689644607,3,8.725702290045948e-4,Preprocessor1_Model05
8,1320,27,f_meas,binary,0.9760455005908631,3,4.5743809014906834e-4,Preprocessor1_Model05
2,272,10,accuracy,binary,0.9532125689644607,3,8.725702290045948e-4,Preprocessor1_Model06
2,272,10,f_meas,binary,0.9760455005908631,3,4.5743809014906834e-4,Preprocessor1_Model06
5,1414,17,accuracy,binary,0.9532125689644607,3,8.725702290045948e-4,Preprocessor1_Model07
5,1414,17,f_meas,binary,0.9760455005908631,3,4.5743809014906834e-4,Preprocessor1_Model07
1,364,24,accuracy,binary,0.9532125689644607,3,8.725702290045948e-4,Preprocessor1_Model08
1,364,24,f_meas,binary,0.9760455005908631,3,4.5743809014906834e-4,Preprocessor1_Model08
6,1257,6,accuracy,binary,0.9532125689644607,3,8.725702290045948e-4,Preprocessor1_Model09
6,1257,6,f_meas,binary,0.9760455005908631,3,4.5743809014906834e-4,Preprocessor1_Model09
2,909,17,accuracy,binary,0.9532125689644607,3,8.725702290045948e-4,Preprocessor1_Model10
2,909,17,f_meas,binary,0.9760455005908631,3,4.5743809014906834e-4,Preprocessor1_Model10
